id Weight Body_Length Tail_Length Date Sex Year Age Who Cohort Wolfgruoben Mother Father f X_Position Y_Position animal Age3 Phi Im ARS LRS Origin Julian RelativeJulian ARSS rPhi rARSS rLRS rock_coverage herb_coverage rARS StDate StDateSq rLRS2
CN06-017 43 NA NA 2006-06-15 Male 2006 A PW 2005 FALSE 0 0 0 -1.63440327487163 -0.301162998412711 CN06-017 1 0 0 4 4 2006-01-01 165 21 4 0 2.99099099099099 0.694214876033058 -0.494666544392298 -0.0700618913027372 3.81609195402299 -1.74460603327753 -1.31995326825856 0.703411093692842
CN06-017 47 NA 56 2006-07-06 Male 2006 A PW 2005 FALSE 0 0 0 -1.38690833999137 -1.29923576728266 CN06-017 1 0 0 4 4 2006-01-01 186 42 4 0 2.99099099099099 0.694214876033058 -1.38084837320901 -0.417868119025691 3.81609195402299 -1.1317287038249 -1.07934473507063 0.704047264627722
CN06-017 42 NA NA 2006-08-08 Male 2006 A PW 2005 FALSE 0 0 0 -1.22191171673786 -1.29923576728266 CN06-017 1 0 0 4 4 2006-01-01 219 75 4 0 2.99099099099099 0.694214876033058 0.0961213414855136 -0.0700618913027372 3.81609195402299 -0.168635757542214 -0.377160648420148 0.697970266597933
CN06-017 35 NA 52.5 2006-08-09 Male 2006 A SR 2005 FALSE 0 0 0 -1.22191171673786 -1.04971757506518 CN06-017 1 0 0 4 4 2006-01-01 220 76 4 0 2.99099099099099 0.694214876033058 -1.67624231614792 -0.765674346748644 3.81609195402299 -0.139451122806375 -0.349698903513589 0.710514305661592
CN06-018 42 NA 53 2006-06-14 Male 2006 A PW 2005 FALSE 0 0 0 -1.8818982097519 -0.550681190630199 CN06-018 1 0 0 5 5 2006-01-01 164 20 5 0 3.73873873873874 0.867768595041322 -1.23315140173956 -0.417868119025691 4.77011494252874 -1.77379066801336 -1.3274097685312 0.885053440962191
CN06-018 41 NA NA 2006-06-15 Male 2006 A PW 2005 FALSE 0 0 0 -1.8818982097519 -0.550681190630199 CN06-018 1 0 0 5 5 2006-01-01 165 21 5 0 3.73873873873874 0.867768595041322 -1.23315140173956 -0.417868119025691 4.77011494252874 -1.74460603327753 -1.31995326825856 0.868260750930372
CN06-018 37 NA NA 2006-07-06 Male 2006 A PW 2005 FALSE 0 0 0 -1.79939989812514 -0.800199382847688 CN06-018 1 0 0 5 5 2006-01-01 186 42 5 0 3.73873873873874 0.867768595041322 -0.790060487331203 0.973356791866123 4.77011494252874 -1.1317287038249 -1.07934473507063 0.868084384351724
CN06-018 NA NA NA 2006-08-08 Male 2006 A SR/PW 2005 FALSE 0 0 0 -1.8818982097519 -1.04971757506518 CN06-018 1 0 0 5 5 2006-01-01 219 75 5 0 3.73873873873874 0.867768595041322 -1.67624231614792 1.1820405284999 4.77011494252874 -0.168635757542214 -0.377160648420148 0.873961012612983
CN06-018 NA NA NA 2006-08-09 Male 2006 A SR/PW 2005 FALSE 0 0 0 -1.96439652137865 -1.04971757506518 CN06-018 1 0 0 5 5 2006-01-01 220 76 5 0 3.73873873873874 0.867768595041322 -1.38084837320901 0.277744336420216 4.77011494252874 -0.139451122806375 -0.349698903513589 0.869661382904155
CN06-018 42 NA NA 2006-08-16 Male 2006 A SR/PW/TB 2005 FALSE 0 0 0 -1.79939989812514 -0.301162998412711 CN06-018 1 0 0 5 5 2006-01-01 227 83 5 0 3.73873873873874 0.867768595041322 -0.790060487331203 -0.0700618913027372 4.77011494252874 0.064841320344499 -0.147282200990412 0.878427609598409
